ges_spec_names,TEFF,LOGG,FEH,LI1
gir_05514573+2146489_H665.0.fit,4745.0,2.54,-0.19,1.11
gir_05514616+2146045_H665.0.fit,4614.0,2.21,-0.32,1.01
gir_05514742+2148457_H665.0.fit,4986.0,2.91,-0.12,0.4
gir_05514896+2149436_H665.0.fit,5704.0,4.25,-0.09,1.77
gir_05515017+2149207_H665.0.fit,4974.0,3.06,-0.07,1.35
gir_05515064+2138561_H665.0.fit,4697.0,4.73,-0.03,0.48
gir_05515117+2150050_H665.0.fit,4784.0,2.67,-0.14,1.02
gir_05515259+2154008_H665.0.fit,6372.0,4.1,0.15,2.06
gir_05515651+2142265_H665.0.fit,5933.0,4.33,-0.22,2.81
gir_05515910+2143176_H665.0.fit,6172.0,4.46,-0.01,2.97
gir_05515975+2141357_H665.0.fit,5865.0,4.38,0.25,2.18
gir_05520107+2153122_H665.0.fit,5419.0,4.37,-0.34,1.57
gir_05520438+2146156_H665.0.fit,6049.0,4.23,-0.01,2.89
gir_05520869+2152469_H665.0.fit,5914.0,4.07,-0.27,2.51
gir_05520882+2153422_H665.0.fit,6239.0,4.17,-0.08,3.04
gir_05521290+2143017_H665.0.fit,5845.0,4.32,-0.48,1.88
gir_05521542+2149270_H665.0.fit,6055.0,4.31,-0.52,2.62
gir_05521574+2152144_H665.0.fit,5826.0,4.47,-0.5,2.24
gir_05522268+2147262_H665.0.fit,6198.0,4.36,-0.07,2.71
gir_05580716+0743388_H665.0.fit,4995.0,3.06,-0.13,0.86
gir_05582709+0746206_H665.0.fit,4946.0,3.05,-0.12,1.25
gir_05582744+0745385_H665.0.fit,5036.0,3.07,-0.14,0.87
gir_05582874+0740292_H665.0.fit,5022.0,2.93,-0.65,0.67
gir_05583211+0747092_H665.0.fit,4649.0,2.34,-0.35,0.32
gir_05583459+0744390_H665.0.fit,4918.0,2.85,-0.31,0.69
gir_05583767+0748280_H665.0.fit,5046.0,3.06,-0.2,0.73
gir_06565005+0813080_H665.0.fit,5134.0,3.93,-0.53,0.76
gir_06565121+0813449_H665.0.fit,5178.0,4.16,-0.39,1.12
gir_06565536+0823122_H665.0.fit,5113.0,3.3,-0.33,0.85
gir_06565605+0820192_H665.0.fit,5072.0,4.63,-0.28,0.67
gir_06570098+0820362_H665.0.fit,5951.0,4.36,-0.39,2.59
gir_06570256+0822292_H665.0.fit,5909.0,4.38,-0.55,2.7
gir_06570338+0810051_H665.0.fit,6483.0,3.94,-0.31,2.48
gir_06570405+0812063_H665.0.fit,4966.0,2.96,-0.26,0.71
gir_06570512+0817155_H665.0.fit,4723.0,2.46,-0.26,0.7
gir_06570574+0817198_H665.0.fit,5220.0,3.87,-0.53,0.67
gir_06570630+0819506_H665.0.fit,5190.0,4.56,0.04,0.64
gir_06570789+0812276_H665.0.fit,4783.0,4.57,-0.17,2.72
gir_06570837+0825003_H665.0.fit,5250.0,4.4,0.08,1.3
gir_06570970+0811108_H665.0.fit,4844.0,3.0,0.2,0.75
gir_06571238+0822236_H665.0.fit,6070.0,4.3,-0.29,2.7
gir_06571408+0820492_H665.0.fit,6024.0,4.1,-0.55,2.72
gir_06571410+0812267_H665.0.fit,5430.0,3.9,-0.21,1.57
gir_06571558+0811273_H665.0.fit,6290.0,4.19,-0.19,2.96
gir_06571624+0825417_H665.0.fit,5137.0,3.81,-0.54,1.29
gir_06572487+0819135_H665.0.fit,5711.0,3.82,-0.21,2.64
gir_06572634+0823290_H665.0.fit,5221.0,3.53,-0.34,1.4
gir_06572700+0820217_H665.0.fit,6050.0,4.17,-0.36,2.54
gir_06572951+0822237_H665.0.fit,4736.0,2.52,-0.28,0.55
gir_06572973+0812015_H665.0.fit,5964.0,4.34,-0.07,2.39
gir_06573094+0818246_H665.0.fit,6152.0,4.09,-0.41,1.97
gir_06573133+0819394_H665.0.fit,5224.0,3.91,-0.32,1.13
gir_06573158+0813550_H665.0.fit,6007.0,4.23,-0.24,2.44
gir_06573342+0819443_H665.0.fit,6090.0,4.64,0.09,2.43
gir_06573389+0820296_H665.0.fit,6064.0,4.24,-0.2,2.93
gir_06573425+0816319_H665.0.fit,5140.0,3.41,-0.26,1.51
gir_06573668+0827331_H665.0.fit,5245.0,3.41,-0.21,1.46
gir_06573795+0814316_H665.0.fit,5838.0,4.28,-0.18,2.12
gir_06573833+0826375_H665.0.fit,5987.0,4.39,-0.03,2.82
gir_06573964+0816212_H665.0.fit,5125.0,3.34,-0.28,1.46
gir_06574229+0815376_H665.0.fit,5259.0,3.58,-0.35,1.62
gir_06574286+0828116_H665.0.fit,5213.0,3.53,-0.04,1.1
gir_06574534+0828264_H665.0.fit,4636.0,4.78,-0.1,0.2
gir_06574583+0812031_H665.0.fit,4623.0,4.79,0.1,0.34
gir_06574617+0822338_H665.0.fit,5051.0,3.0,-0.29,2.49
gir_06574809+0819021_H665.0.fit,5248.0,3.52,-0.26,1.56
gir_06574858+0831049_H665.0.fit,5360.0,3.93,0.15,1.22
gir_06574867+0816485_H665.0.fit,5082.0,3.21,-0.46,1.48
gir_06574897+0831189_H665.0.fit,4924.0,2.55,-0.19,1.27
gir_06574983+0810257_H665.0.fit,5454.0,4.36,-0.29,1.55
gir_06575147+0816340_H665.0.fit,6292.0,4.34,-0.03,2.89
gir_06575874+0814479_H665.0.fit,6220.0,4.18,-0.31,2.97
gir_06575898+0825502_H665.0.fit,5174.0,3.24,-0.4,1.13
gir_06580059+0828387_H665.0.fit,4927.0,3.0,0.13,0.35
gir_06580148+0817582_H665.0.fit,6145.0,4.33,-0.22,2.83
gir_06580242+0819157_H665.0.fit,4963.0,4.53,-0.35,0.86
gir_06580366+0811410_H665.0.fit,4417.0,1.9,-0.41,0.4
gir_06580794+0814272_H665.0.fit,5076.0,3.21,-0.32,1.39
gir_06580813+0816035_H665.0.fit,5751.0,4.21,-0.48,2.06
gir_06581111+0819287_H665.0.fit,6007.0,3.9,-0.38,2.74
gir_06581479+0811437_H665.0.fit,4867.0,2.97,-0.32,0.53
gir_06581707+0814275_H665.0.fit,5271.0,3.62,-0.17,1.23
gir_06581760+0811058_H665.0.fit,5012.0,3.13,-0.33,1.35
gir_06581903+0810173_H665.0.fit,5181.0,2.96,-0.61,1.04
gir_06574755+0627380_H665.0.fit,5801.0,4.37,-0.07,1.85
gir_06574840+0628543_H665.0.fit,5474.0,3.59,-0.13,2.4
gir_06574844+0630078_H665.0.fit,6307.0,4.34,-0.3,2.83
gir_06574913+0630031_H665.0.fit,5361.0,4.16,-0.48,0.94
gir_06575033+0622378_H665.0.fit,6278.0,4.16,-0.1,1.8
gir_06575105+0631137_H665.0.fit,5391.0,3.65,-0.32,1.01
gir_06575113+0627375_H665.0.fit,5937.0,4.41,-0.32,2.64
gir_06575163+0623488_H665.0.fit,5184.0,4.59,-0.05,0.78
gir_06575213+0629184_H665.0.fit,6203.0,3.93,-0.35,2.32
gir_06575240+0630275_H665.0.fit,6258.0,4.07,-0.51,2.72
gir_06575269+0628365_H665.0.fit,5892.0,4.16,-0.65,2.03
gir_06575383+0628243_H665.0.fit,5857.0,4.25,-0.52,2.55
gir_06575534+0623426_H665.0.fit,5155.0,4.59,-0.31,1.02
gir_06575632+0628169_H665.0.fit,5787.0,4.48,-0.15,1.99
gir_06575634+0627267_H665.0.fit,6091.0,4.17,-0.48,2.34
gir_06575685+0624264_H665.0.fit,5344.0,4.63,0.06,0.88
gir_06575691+0627169_H665.0.fit,6267.0,4.3,-0.33,2.85
gir_06575692+0629506_H665.0.fit,6150.0,4.26,-0.01,2.75
gir_06575780+0630269_H665.0.fit,6263.0,4.06,-0.35,2.82
gir_06575894+0626486_H665.0.fit,6270.0,4.5,-0.32,2.5
gir_06575943+0627369_H665.0.fit,6426.0,4.0,-0.16,2.19
gir_06575971+0626232_H665.0.fit,5182.0,3.96,-0.53,1.09
gir_06580016+0626396_H665.0.fit,5701.0,3.71,-0.31,1.6
gir_06580016+0629159_H665.0.fit,5061.0,3.6,-0.5,0.99
gir_06580038+0628321_H665.0.fit,4974.0,4.5,-0.06,0.54
gir_06580154+0630382_H665.0.fit,5905.0,4.27,-0.22,1.88
gir_06580246+0625238_H665.0.fit,6295.0,4.21,-0.36,2.89
gir_06580252+0624288_H665.0.fit,6123.0,3.83,-0.5,2.56
gir_06580297+0625584_H665.0.fit,6216.0,4.44,-0.33,2.82
gir_06580301+0626441_H665.0.fit,6173.0,4.4,-0.48,2.62
gir_06580400+0627168_H665.0.fit,6014.0,4.13,-0.35,1.59
gir_06580403+0622581_H665.0.fit,6061.0,3.91,-0.22,2.29
gir_06580438+0623224_H665.0.fit,6182.0,4.3,-0.31,2.63
gir_06580499+0627356_H665.0.fit,6249.0,4.13,-0.57,2.4
gir_06580520+0625591_H665.0.fit,5673.0,4.32,-0.55,1.61
gir_06580592+0625490_H665.0.fit,6209.0,4.14,-0.34,2.88
gir_06580632+0628571_H665.0.fit,6110.0,4.0,-0.4,2.13
gir_06580701+0627328_H665.0.fit,6002.0,4.31,-0.45,2.59
gir_06580719+0626367_H665.0.fit,6099.0,4.14,-0.48,2.02
gir_06580725+0630202_H665.0.fit,6005.0,4.17,-0.5,1.86
gir_06580746+0629327_H665.0.fit,5021.0,3.27,-0.39,0.64
gir_06580751+0625589_H665.0.fit,6236.0,4.23,-0.55,2.75
gir_06580768+0629471_H665.0.fit,5448.0,4.45,-0.32,1.52
gir_06580841+0626530_H665.0.fit,6133.0,3.96,-0.42,2.72
gir_06580857+0626104_H665.0.fit,6085.0,4.12,-0.4,2.19
gir_06580858+0627190_H665.0.fit,6185.0,3.99,-0.48,2.22
gir_06580859+0625019_H665.0.fit,6122.0,4.39,-0.51,2.52
gir_06580904+0626090_H665.0.fit,6258.0,4.1,-0.36,2.31
gir_06581029+0630000_H665.0.fit,6195.0,4.0,-0.35,1.68
gir_06581058+0626484_H665.0.fit,5736.0,3.9,-0.39,1.71
gir_06581062+0620402_H665.0.fit,6100.0,4.29,-0.44,2.35
gir_06581064+0630417_H665.0.fit,6145.0,3.99,-0.59,2.04
gir_06581072+0626212_H665.0.fit,5074.0,3.3,-0.28,0.83
gir_06581099+0621370_H665.0.fit,5489.0,3.97,-0.31,1.43
gir_06581104+0625224_H665.0.fit,5789.0,4.35,0.02,2.7
gir_06581240+0625139_H665.0.fit,6180.0,4.2,-0.47,2.55
gir_06581260+0626303_H665.0.fit,6238.0,4.05,-0.5,2.27
gir_06581298+0627254_H665.0.fit,6019.0,4.29,-0.43,2.45
gir_06581327+0626028_H665.0.fit,5560.0,3.66,-0.29,1.63
gir_06581390+0624428_H665.0.fit,4723.0,4.73,-0.31,0.04
gir_06581390+0625203_H665.0.fit,6152.0,4.19,-0.48,2.05
gir_06581401+0622261_H665.0.fit,5089.0,3.37,-0.32,0.95
gir_06581408+0626432_H665.0.fit,5355.0,3.83,-0.39,1.36
gir_06581419+0628477_H665.0.fit,5977.0,4.21,-0.34,1.9
gir_06581471+0627024_H665.0.fit,6221.0,4.12,-0.2,2.89
gir_06581473+0631199_H665.0.fit,6379.0,4.09,-0.4,2.36
gir_06581507+0630475_H665.0.fit,5936.0,4.45,-0.4,2.54
gir_06581525+0629022_H665.0.fit,6029.0,4.28,-0.58,2.43
gir_06581592+0630445_H665.0.fit,6380.0,4.09,-0.31,2.35
gir_06581761+0622222_H665.0.fit,5621.0,4.6,-0.1,1.79
gir_06581782+0622159_H665.0.fit,5688.0,4.36,-0.1,1.74
gir_06581923+0626333_H665.0.fit,6342.0,4.02,-0.35,2.76
gir_06581992+0621459_H665.0.fit,6202.0,4.16,-0.5,2.08
gir_06582027+0623482_H665.0.fit,6260.0,3.92,-0.42,2.53
gir_06582069+0619175_H665.0.fit,6168.0,4.05,-0.4,2.68
gir_06582106+0622060_H665.0.fit,6283.0,4.17,-0.47,2.42
gir_06582114+0623012_H665.0.fit,6106.0,4.36,-0.32,2.52
gir_06582217+0625076_H665.0.fit,4980.0,2.48,-0.39,0.57
gir_06582225+0629317_H665.0.fit,6363.0,4.12,-0.08,2.42
gir_06582261+0625040_H665.0.fit,5959.0,4.34,0.06,2.3
gir_06582290+0627223_H665.0.fit,6084.0,4.44,-0.01,2.55
gir_06582331+0630492_H665.0.fit,5148.0,3.68,-0.59,0.77
gir_06582349+0627517_H665.0.fit,5968.0,4.4,-0.28,2.6
gir_06582415+0627321_H665.0.fit,6056.0,4.2,-0.29,2.4
gir_06582478+0624100_H665.0.fit,6109.0,3.85,-0.34,1.86
gir_06582480+0622335_H665.0.fit,5669.0,4.3,-0.34,1.61
gir_06582503+0624347_H665.0.fit,6328.0,4.24,-0.66,2.36
gir_06582623+0622225_H665.0.fit,6015.0,4.17,-0.41,2.39
gir_06582632+0624474_H665.0.fit,5131.0,3.44,-0.37,0.81
gir_06582634+0628040_H665.0.fit,6296.0,3.97,-0.41,2.21
gir_06582662+0630128_H665.0.fit,6257.0,3.98,-0.39,2.25
gir_06582755+0624168_H665.0.fit,5717.0,4.26,-0.49,1.87
gir_06583089+0623307_H665.0.fit,6307.0,4.05,-0.25,2.61
gir_07154567-1310362_H665.0.fit,4598.0,2.28,-0.28,0.32
gir_07155165-1305511_H665.0.fit,4606.0,2.22,-0.21,0.13
gir_07155207-1309239_H665.0.fit,4975.0,2.99,-0.33,0.47
gir_07155687-1311181_H665.0.fit,5004.0,3.58,-0.15,0.87
gir_07155968-1311125_H665.0.fit,4598.0,2.46,-0.24,0.37
gir_07160632-1305092_H665.0.fit,5069.0,3.12,-0.47,1.13
gir_07160760-1309270_H665.0.fit,4691.0,2.44,-0.23,1.22
